County,New Probable 2020-11-01,New Probable 2020-11-02,New Probable 2020-11-03,New Probable 2020-11-04,New Probable 2020-11-05,New Probable 2020-11-06,New Probable 2020-11-07,New Probable 2020-11-08,New Probable 2020-11-09,New Probable 2020-11-10,New Probable 2020-11-11,New Probable 2020-11-12,New Probable 2020-11-13,New Probable 2020-11-14,New Probable 2020-11-15,New Probable 2020-11-16,New Probable 2020-11-17,New Probable 2020-11-18,New Probable 2020-11-19,New Probable 2020-11-20,New Probable 2020-11-21,New Probable 2020-11-22,New Probable 2020-11-23,New Probable 2020-11-24,New Probable 2020-11-25,New Probable 2020-11-26,New Probable 2020-11-27,New Probable 2020-11-28,New Probable 2020-11-29,New Probable 2020-11-30,New Probable 2020-12-01,New Probable 2020-12-02,New Probable 2020-12-03,New Probable 2020-12-04,New Probable 2020-12-05,New Probable 2020-12-06,New Probable 2020-12-07,New Probable 2020-12-08,New Probable 2020-12-09,New Probable 2020-12-10,New Probable 2020-12-11,New Probable 2020-12-12,New Probable 2020-12-13,New Probable 2020-12-14,New Probable 2020-12-15,New Probable 2020-12-16,New Probable 2020-12-17,New Probable 2020-12-18,New Probable 2020-12-19,New Probable 2020-12-20,New Probable 2020-12-21,New Probable 2020-12-22,New Probable 2020-12-23,New Probable 2020-12-24,New Probable 2020-12-25,New Probable 2020-12-26,New Probable 2020-12-27,New Probable 2020-12-28,New Probable 2020-12-29,New Probable 2020-12-30,New Probable 2020-12-31,New Probable 2021-01-01,New Probable 2021-01-02,New Probable 2021-01-03,New Probable 2021-01-04,New Probable 2021-01-05,New Probable 2021-01-06,New Probable 2021-01-07,New Probable 2021-01-08,New Probable 2021-01-09,New Probable 2021-01-10,New Probable 2021-01-11,New Probable 2021-01-12,New Probable 2021-01-13,New Probable 2021-01-14,New Probable 2021-01-15,New Probable 2021-01-16,New Probable 2021-01-17,New Probable 2021-01-18,New Probable 2021-01-19,New Probable 2021-01-20,New Probable 2021-01-21,New Probable 2021-01-22,New Probable 2021-01-23,New Probable 2021-01-24,New Probable 2021-01-25,New Probable 2021-01-26,New Probable 2021-01-27,New Probable 2021-01-28,New Probable 2021-01-29,New Probable 2021-01-30,New Probable 2021-01-31,New Probable 2021-02-01,New Probable 2021-02-02,New Probable 2021-02-03,New Probable 2021-02-04,New Probable 2021-02-05,New Probable 2021-02-06,New Probable 2021-02-07,New Probable 2021-02-08,New Probable 2021-02-09,New Probable 2021-02-10,New Probable 2021-02-11,New Probable 2021-02-12,New Probable 2021-02-13,New Probable 2021-02-14,New Probable 2021-02-15,New Probable 2021-02-16,New Probable 2021-02-17,New Probable 2021-02-18,New Probable 2021-02-19,New Probable 2021-02-20,New Probable 2021-02-21,New Probable 2021-02-22,New Probable 2021-02-23,New Probable 2021-02-24,New Probable 2021-02-25,New Probable 2021-02-26,New Probable 2021-02-27,New Probable 2021-02-28,New Probable 2021-03-01,New Probable 2021-03-02,New Probable 2021-03-03,New Probable 2021-03-04,New Probable 2021-03-05,New Probable 2021-03-06,New Probable 2021-03-07,New Probable 2021-03-08,New Probable 2021-03-09,New Probable 2021-03-10,New Probable 2021-03-11,New Probable 2021-03-12,New Probable 2021-03-13,New Probable 2021-03-14,New Probable 2021-03-15,New Probable 2021-03-16,New Probable 2021-03-17,New Probable 2021-03-18,New Probable 2021-03-19,New Probable 2021-03-20,New Probable 2021-03-21,New Probable 2021-03-22,New Probable 2021-03-23,New Probable 2021-03-24,New Probable 2021-03-25,New Probable 2021-03-26,New Probable 2021-03-27,New Probable 2021-03-28,New Probable 2021-03-29,New Probable 2021-03-30,New Probable 2021-03-31,New Probable 2021-04-01,New Probable 2021-04-02,New Probable 2021-04-03,New Probable 2021-04-04,New Probable 2021-04-05,New Probable 2021-04-06,New Probable 2021-04-07,New Probable 2021-04-08,New Probable 2021-04-09,New Probable 2021-04-10,New Probable 2021-04-11,New Probable 2021-04-12,New Probable 2021-04-13,New Probable 2021-04-14,New Probable 2021-04-15,New Probable 2021-04-16,New Probable 2021-04-17,New Probable 2021-04-18,New Probable 2021-04-19,New Probable 2021-04-20,New Probable 2021-04-21,New Probable 2021-04-22,New Probable 2021-04-23,New Probable 2021-04-24,New Probable 2021-04-25,New Probable 2021-04-26,New Probable 2021-04-27,New Probable 2021-04-28,New Probable 2021-04-29,New Probable 2021-04-30,New Probable 2021-05-01,New Probable 2021-05-02,New Probable 2021-05-03,New Probable 2021-05-04,New Probable 2021-05-05,New Probable 2021-05-06,New Probable 2021-05-07,New Probable 2021-05-08,New Probable 2021-05-09,New Probable 2021-05-10,New Probable 2021-05-11,New Probable 2021-05-12,New Probable 2021-05-13,New Probable 2021-05-14,New Probable 2021-05-15,New Probable 2021-05-16,New Probable 2021-05-17,New Probable 2021-05-18,New Probable 2021-05-19,New Probable 2021-05-20,New Probable 2021-05-21,New Probable 2021-05-22,New Probable 2021-05-23,New Probable 2021-05-24,New Probable 2021-05-25,New Probable 2021-05-26,New Probable 2021-05-27,New Probable 2021-05-28,New Probable 2021-05-29,New Probable 2021-05-30,New Probable 2021-05-31,New Probable 2021-06-01,New Probable 2021-06-02,New Probable 2021-06-03,New Probable 2021-06-04,New Probable 2021-06-05,New Probable 2021-06-06,New Probable 2021-06-07,New Probable 2021-06-08,New Probable 2021-06-09,New Probable 2021-06-10,New Probable 2021-06-11,New Probable 2021-06-12,New Probable 2021-06-13,New Probable 2021-06-14,New Probable 2021-06-15,New Probable 2021-06-16,New Probable 2021-06-17,New Probable 2021-06-18,New Probable 2021-06-19,New Probable 2021-06-20,New Probable 2021-06-21,New Probable 2021-06-22,New Probable 2021-06-23,New Probable 2021-06-24,New Probable 2021-06-25,New Probable 2021-06-26,New Probable 2021-06-27,New Probable 2021-06-28,New Probable 2021-06-29,New Probable 2021-06-30,New Probable 2021-07-01,New Probable 2021-07-02,New Probable 2021-07-03,New Probable 2021-07-04,New Probable 2021-07-05,New Probable 2021-07-06,New Probable 2021-07-07,New Probable 2021-07-08,New Probable 2021-07-09,New Probable 2021-07-10,New Probable 2021-07-11,New Probable 2021-07-12,New Probable 2021-07-13,New Probable 2021-07-14,New Probable 2021-07-15,New Probable 2021-07-16,New Probable 2021-07-17,New Probable 2021-07-18,New Probable 2021-07-19,New Probable 2021-07-20,New Probable 2021-07-21,New Probable 2021-07-22,New Probable 2021-07-23,New Probable 2021-07-24,New Probable 2021-07-25,New Probable 2021-07-26,New Probable 2021-07-27,New Probable 2021-07-28,New Probable 2021-07-29,New Probable 2021-07-30,New Probable 2021-07-31,New Probable 2021-08-01,New Probable 2021-08-02,New Probable 2021-08-03,New Probable 2021-08-04,New Probable 2021-08-05,New Probable 2021-08-06,New Probable 2021-08-07,New Probable 2021-08-08,New Probable 2021-08-09,New Probable 2021-08-10
Calhoun,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,7,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,6,7,0,1,0,0,1,3,0,14,1,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,2,0,2,5,0,0,0,1,3,10,1,0,3,2,1,3,0,11,0,0,0,1,1,-1,0,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,-1,0,0,0,5,8,0,2,3,0,0,0,0,2,1,1,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,0,6,0,0,1,0,0,0,3,1,0,0,0,0,0,3,0,1,3,0,0,0,0,3,1,0,0,0,0,0,1,-1,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,3,6,0,0,0,5,1,2,-1,1,0,0,4,1,2,5,2,0,0,6
Callahan,0,0,9,4,3,1,0,0,0,7,2,0,0,5,0,0,2,0,1,10,6,0,0,20,12,8,0,0,4,0,0,22,10,-2,10,0,0,9,2,4,6,3,0,0,9,6,11,7,1,0,0,9,14,7,0,0,4,0,18,8,3,-4,0,0,0,14,9,3,2,5,0,0,1,1,2,0,0,0,0,0,19,0,4,0,0,0,8,7,10,1,0,0,0,7,2,2,0,2,0,0,1,0,0,5,0,0,0,0,2,0,0,2,0,0,3,0,1,0,2,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,3,0,0,1,2,1,1,8,0,0,10
Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,167
Camp,0,0,1,1,1,0,0,1,0,1,-1,0,2,0,2,0,1,12,7,5,9,0,0,4,0,0,0,0,0,0,0,2,5,3,0,0,0,0,8,2,2,2,0,0,1,0,3,-1,5,15,4,0,-1,6,0,3,4,2,1,1,7,1,1,0,3,0,1,2,13,5,0,21,3,3,0,0,5,15,1,0,5,0,18,-1,1,0,1,-1,6,3,1,4,0,18,3,3,8,3,0,0,-1,0,2,2,1,1,1,0,0,0,1,6,1,0,0,2,2,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,-1,1,-1,0,0,1,0,1,0,0,0,0,0,6,1,0,2,0,0,1,0,0,0,0,0,0,3,0,0,-1,0,1,0,1,1,0,0,4,0,0,0,0,1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,-1,0,4,0,0,1,0,-4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-4,0,0,0,0,0,0,5,2,0,0,0,1,3,3,2,1,1,0,1,2,4,7,4,4,0,0,1
Carson,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,1,0,0,2,3,2,0,2,0,0,6,3,10,9,14,0,0,6,8,-1,5,1,0,0,0,3,1,1,3,0,0,2,3,1,0,0,0,0,-1,2,2,4,0,0,0,2,3,4,0,0,0,0,2,0,0,0,0,0,0,-1,1,0,3,-1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,3,-1,0,-1,0,0,-1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,1,5,1,0,0,2,0,1,1,0,12,0,6,0,2,5,5,0,4,0,0,7,3,7,1,1,0,0,5,12,5,2,9,1,1,2,1,1,5,2,0,5,6,5,6,4,3,1,1,1,0,5,4,2,9,0,-5,2,15,1,0,1,1,7,38,-34,4,1,-1,1,12,6,6,1,0,13,0,2,2,0,3,9,4,0,1,5,2,2,1,5,2,4,6,4,3,6,0,1,4,0,4,8,3,0,0,0,0,2,1,3,9,1,3,1,-1,1,-1,0,0,2,-1,2,3,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,3,1,2,0,0,0,0,0,1,1,3,0,0,0,2,6,0,0,0,1,0,0,3,0,0,1,1,0,2,4,2,-1,0,0,0,1,0,4,0,0,0,0,1,3,2,-1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,8,2,0,0,2,1,0,0,3,0,0,1,1,0,0,0,0,-1,3,0,0,1,0,1,1,5,0,0,1,-19,8,0,1,0,0,0,0,0,1,1,0,0,0,8,2,8,6,0,0,8,3,3,5,6,0,0,12,6,6,0,2,0,1,9,7,11,5,8,1,2,5,15,15,19,10,0,3,7
Castro,0,0,2,3,1,0,6,0,0,1,10,0,10,3,0,0,3,5,16,9,3,0,0,8,1,2,0,0,0,0,6,8,4,0,6,0,0,2,2,0,19,2,0,0,0,1,0,4,0,0,0,1,5,2,0,0,0,0,-1,1,1,0,0,0,0,-1,13,4,3,0,0,0,0,0,2,0,1,0,0,-1,3,0,4,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,1,0,-2,3,0,0,0,0,1,2,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,1,4,3,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,5,0,-1,0,0,1
Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,37,5,11,4,0,8,0,10,9,29,15,0,2,0,8,6,9,6,5,0,0,22,5,0,9,0,0,0,51,7,39,43,5,0,0,2,33,11,5,0,0,0,22,9,12,8,6,0,0,10,8,5,0,0,0,0,26,21,0,60,0,0,0,49,12,52,45,30,0,0,41,6,25,23,17,0,0,0,61,14,12,25,0,0,38,51,9,8,3,0,0,0,72,9,11,0,0,0,34,19,10,3,6,0,0,0,0,0,13,0,0,0,10,2,3,0,0,0,0,1,0,7,0,0,0,0,4,1,1,0,0,0,0,10,5,1,1,0,0,0,2,2,0,0,0,0,0,5,2,2,0,0,0,0,6,1,1,3,0,0,0,2,0,8,2,0,0,0,6,6,4,0,0,0,0,10,0,0,0,0,0,0,0,12,17,1,0,0,0,9,5,4,3,0,0,0,0,20,2,4,0,0,0,8,6,1,5,0,0,0,0,6,3,0,0,0,0,5,0,3,0,0,0,0,10,2,1,0,0,0,0,2,1,3,1,0,0,0,1,1,3,4,0,0,0,0,6,9,5,0,0,0,0,16,2,8,0,0,0,12,7,11,15,9,0,0,12,24,23,27,0,0,0,29,0,40,9,0,0,0,49
Childress,0,0,3,0,-1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,8,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,0,0,0,1,1,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-2,0,0,0,2,0,-1,0,0,0,0,0,0,-1,1,0,0,0,-3,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
Clay,0,0,2,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2,5,3,0,0,0,2,0,0,0,0,0,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Cochran,0,0,0,0,1,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0,1,3,1,5,0,0,0,4,6,2,9,0,0,7,0,1,-1,1,0,0,0,3,0,2,0,0,0,0,9,5,5,0,6,0,10,5,4,3,2,31,0,2,1,1,1,3,0,0,7,2,1,0,3,0,0,3,6,4,2,0,1,0,0,11,1,1,-1,0,0,0,3,1,4,0,0,0,2,5,2,0,0,0,0,21,2,3,0,2,0,1,0,0,1,0,-7,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,1,0,0,0,-2,0,0,1,-2,0,0,0,0,0,1,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,-1,0,0,2,4,-1,0,0,0,0,0,2,0,0,0,0,0,-1,-1,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,2,1,0,0,1,2,4,1,0,2,4
Coleman,0,0,3,3,0,1,0,0,0,8,3,0,3,3,0,0,5,2,0,0,0,0,0,5,2,0,0,0,0,0,0,8,2,0,0,0,0,5,0,0,0,3,0,0,2,0,0,1,0,0,0,6,1,1,0,0,0,0,3,5,3,1,0,0,0,6,6,0,0,3,0,0,3,0,6,0,0,0,0,0,6,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1
Collin,30,14,14,19,45,10,7,7,17,16,21,86,49,15,9,9,12,6,19,4,25,4,10,10,43,56,25,8,7,10,226,136,250,126,84,20,47,130,188,251,107,176,51,22,192,138,151,238,210,8,30,106,91,104,0,237,32,59,282,80,171,167,56,2,45,290,265,255,201,216,124,46,406,573,296,236,129,80,48,85,346,141,146,123,14,60,294,337,148,158,174,9,69,165,138,146,176,67,63,45,83,185,118,199,119,0,0,196,84,24,47,17,0,39,186,138,108,166,77,62,3,0,0,287,28,28,12,27,63,64,78,67,38,5,63,41,3,91,32,0,0,5,143,-18,21,72,63,0,94,45,95,53,27,7,67,-3,84,-10,43,26,59,13,52,20,19,26,69,41,62,5,63,2,59,47,47,44,-1,13,72,65,37,51,85,4,7,50,16,32,7,39,2,50,6,47,9,20,39,4,34,-1,7,17,17,19,16,5,16,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,69,19,1,2,29,1,20,3,12,31,-2,37,5,2,25,6,1,11,53,4,0,23,26,37,2,20,14,1,85,1,63,82,48,22,0,1,25,35,22,9,19,74,-6,45,108,33,38,91,55,1,58,92,35,43,35,14,1,132
Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,-7,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,7,0,0,-1,0,0,1,0,0,0,1,-2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,1,-1,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Colorado,0,3,0,2,0,0,1,0,0,0,2,0,-1,1,1,0,0,6,2,0,0,1,0,1,0,0,4,0,1,1,1,0,0,9,2,4,1,-1,1,0,2,2,1,1,2,0,0,-1,4,0,1,0,0,4,0,0,0,3,0,0,0,2,1,1,2,0,1,1,0,2,1,2,0,0,0,-1,0,3,0,9,1,1,0,0,3,0,0,0,4,0,7,1,0,0,1,4,0,0,0,0,0,4,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,3,0,0,-1,4,3,3,0,2,0,0,3,0,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,-1,0,5,2,0,1,0,2,-2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,-1,0,0,0,0,0,0,0,0,0,-2,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,-2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,3,0,2,1,1,0,0,1,1,1,2,0,0,0
Comal,0,0,9,17,29,22,22,0,0,23,0,10,52,0,35,0,40,13,0,22,19,5,0,35,0,14,23,0,0,0,66,71,0,25,34,16,0,28,0,51,23,51,14,0,0,81,28,23,93,58,0,60,43,73,0,0,0,0,95,45,60,0,113,0,0,158,80,55,59,66,0,0,74,40,71,45,60,0,0,0,55,56,67,80,0,0,75,104,92,81,46,0,0,54,50,23,72,25,0,0,34,37,20,30,10,0,0,0,0,0,0,0,0,0,33,9,45,32,10,0,0,33,9,9,6,24,0,0,14,15,5,27,11,0,0,12,6,2,8,17,0,0,11,6,30,5,6,0,0,10,7,3,3,0,0,0,19,15,0,7,13,0,0,11,16,5,8,5,0,0,11,16,19,3,13,0,0,14,15,32,12,8,0,0,21,10,14,9,9,0,0,23,24,11,3,5,0,0,17,12,6,7,5,0,0,10,4,3,3,7,0,0,0,24,4,11,10,0,0,15,3,16,7,9,0,0,13,9,6,0,9,0,0,20,13,5,7,19,0,0,12,6,14,12,11,0,0,0,39,8,9,8,0,0,33,15,17,29,22,0,0,19,16,26,22,18,0,0,42,38,45,23,31,0,0,58,43,57,38,48,0,0,112
